"riskFactor.kcd","disease.kcd","RR","pValue","pFdr","riskFactor.eng","disease.eng","age"
"M13","S72",4.37986411261981,0,0,"Other arthritis","Fracture of femur",NA
"M13","G20",4.31619262830438,0,0,"Other arthritis","Parkinson’s disease",NA
"M13","L89",4.10773154771882,0,0,"Other arthritis","Decubitus ulcer and pressure area",NA
"M13","M49",4.023314295804,0,0,"Other arthritis","Spondylopathies in diseases classified elsewhere",NA
"M51","M80",4.76028495875887,0,0,"Other intervertebral disc disorders","Osteoporosis with pathological fracture",NA
"M51","G55",4.30895672819354,0,0,"Other intervertebral disc disorders","Nerve root and plexus compressions in diseases classified elsewhere",4
"M51","M49",4.53888640152882,0,0,"Other intervertebral disc disorders","Spondylopathies in diseases classified elsewhere",NA
"H65","B08",4.33996043589665,0,0,"Nonsuppurative otitis media","Other viral infections characterized by skin and mucous membrane lesions, NEC",NA
"H65","B01",4.95678572034019,0,0,"Nonsuppurative otitis media","Varicella[chickenpox]",NA
"M75","M80",4.73189267487008,0,0,"Shoulder lesions","Osteoporosis with pathological fracture",NA
"M75","H27",4.07720929478056,2.77586965347943e-282,7.49151702081027e-277,"Shoulder lesions","Other disorders of lens",NA
"M75","M49",4.39742900719619,0,0,"Shoulder lesions","Spondylopathies in diseases classified elsewhere",NA
"E11","E14",5.01770798028419,0,0,"Type 2 diabetes mellitus","Unspecified diabetes mellitus",8
"E11","H25",4.58940836230596,0,0,"Type 2 diabetes mellitus","Senile cataract",7
"E11","I11",4.43600683155966,0,0,"Type 2 diabetes mellitus","Hypertensive heart disease",7
"E11","I63",4.77535701436658,0,0,"Type 2 diabetes mellitus","Cerebral infarction",6
"E11","I25",4.93050101661787,0,0,"Type 2 diabetes mellitus","Chronic ischaemic heart disease",7
"E11","I50",4.51338897238649,0,0,"Type 2 diabetes mellitus","Heart failure",6
"E11","H26",4.20428335848776,0,0,"Type 2 diabetes mellitus","Other cataract",6
"E11","H36",10.8996048069604,0,0,"Type 2 diabetes mellitus","Retinal disorders in diseases classified elsewhere",9
"E11","E10",13.8462493680057,0,0,"Type 2 diabetes mellitus","Type 1 diabetes mellitus",10
"E11","I70",4.88580410635876,0,0,"Type 2 diabetes mellitus","Atherosclerosis",8
"E11","I69",5.24621330191943,0,0,"Type 2 diabetes mellitus","Sequelae of cerebrovascular disease",NA
"E11","I21",4.39946802576411,0,0,"Type 2 diabetes mellitus","Acute myocardial infarction",NA
"E11","Z96",4.78868129306014,0,0,"Type 2 diabetes mellitus","Presence of other functional implants",9
"E11","G63",11.4107322953418,0,0,"Type 2 diabetes mellitus","Polyneuropathy in diseases classified elsewhere",12
"E11","I13",4.50588925146415,0,0,"Type 2 diabetes mellitus","Hypertensive heart and renal disease",7
"E11","R81",4.93502246562256,0,0,"Type 2 diabetes mellitus","Glycosuria",7
"E11","G81",4.93865239501366,0,0,"Type 2 diabetes mellitus","Hemiplegia",NA
"E11","E13",9.72558773666734,0,0,"Type 2 diabetes mellitus","Other specified diabetes mellitus",10
"E11","I15",4.47521074756898,0,0,"Type 2 diabetes mellitus","Secondary hypertension",8
"E11","A41",4.53372252942314,0,0,"Type 2 diabetes mellitus","Other sepsis",8
"E11","N18",8.49283302003054,0,0,"Type 2 diabetes mellitus","Chronic kidney disease",11
"E11","J90",4.1562188979603,0,0,"Type 2 diabetes mellitus","Pleural effusion, NEC",NA
"E11","I12",6.45167282769362,0,0,"Type 2 diabetes mellitus","Hypertensive renal disease",9
"E11","I74",5.93322117712122,0,0,"Type 2 diabetes mellitus","Arterial embolism and thrombosis",9
"E11","D63",5.57288572424476,0,0,"Type 2 diabetes mellitus","Anaemia in chronic diseases classified elsewhere",8
"E11","N08",10.0637483363976,0,0,"Type 2 diabetes mellitus","Glomerular disorders in diseases classified elsewhere",9
"E11","R18",4.16761794217027,0,0,"Type 2 diabetes mellitus","Ascites",NA
"E11","H27",4.57483010995318,0,0,"Type 2 diabetes mellitus","Other disorders of lens",NA
"E11","S72",4.44589418480621,0,0,"Type 2 diabetes mellitus","Fracture of femur",NA
"E11","H34",4.56721530855667,0,0,"Type 2 diabetes mellitus","Retinal vascular occlusions",7
"E11","G20",5.2367586967883,0,0,"Type 2 diabetes mellitus","Parkinson’s disease",NA
"E11","E12",12.5201496476919,0,0,"Type 2 diabetes mellitus","Malnutrition-related diabetes mellitus",14
"E11","N17",5.17961472029937,0,0,"Type 2 diabetes mellitus","Acute renal failure",6
"E11","E46",4.03383914217056,0,0,"Type 2 diabetes mellitus","Unspecified protein-energy malnutrition",NA
"E11","L89",5.98935869031568,0,0,"Type 2 diabetes mellitus","Decubitus ulcer and pressure area",8
"E11","I64",5.32320846858067,0,0,"Type 2 diabetes mellitus","Stroke, not specified as haemorrhage or infarction",NA
"F41","F33",4.54128558194336,0,0,"Other anxiety disorders","Recurrent depressive disorder",9
"F41","G20",4.44652821935917,0,0,"Other anxiety disorders","Parkinson’s disease",NA
"J18","B08",5.43436277448242,0,0,"Pneumonia, organism unspecified","Other viral infections characterized by skin and mucous membrane lesions, NEC",NA
"J18","B01",6.06628065669448,0,0,"Pneumonia, organism unspecified","Varicella[chickenpox]",NA
"J18","A87",4.66949269045784,1.53102836550308e-298,4.13193935281971e-293,"Pneumonia, organism unspecified","Viral meningitis",NA
"J18","K00",4.15454348793584,3.39637800591336e-174,9.16614496235899e-169,"Pneumonia, organism unspecified","Disorders of tooth development and eruption",NA
"H40","H27",4.31994071638827,3.02232061753513e-271,8.15663888260381e-266,"Glaucoma","Other disorders of lens",17
"R42","G20",4.34385301608614,0,0,"Dizziness and giddiness","Parkinson’s disease",NA
"R42","I64",4.05890214966522,8.34258028277952e-302,2.25149556671654e-296,"Dizziness and giddiness","Stroke, not specified as haemorrhage or infarction",NA
"M81","N95",4.38009366845128,0,0,"Osteoporosis without pathological fracture","Menopausal and other perimenopausal disorders",NA
"M81","H25",4.85972507588453,0,0,"Osteoporosis without pathological fracture","Senile cataract",NA
"M81","I63",4.15408645161284,0,0,"Osteoporosis without pathological fracture","Cerebral infarction",NA
"M81","I50",4.11515285891397,0,0,"Osteoporosis without pathological fracture","Heart failure",NA
"M81","H26",4.18849263916293,0,0,"Osteoporosis without pathological fracture","Other cataract",NA
"M81","M16",4.22961832497534,0,0,"Osteoporosis without pathological fracture","Coxarthrosis [arthrosis of hip]",NA
"M81","I69",4.16564795620027,0,0,"Osteoporosis without pathological fracture","Sequelae of cerebrovascular disease",NA
"M81","S32",4.62277798175323,0,0,"Osteoporosis without pathological fracture","Fracture of lumbar spine and pelvis",NA
"M81","M80",9.58102654687592,0,0,"Osteoporosis without pathological fracture","Osteoporosis with pathological fracture",NA
"M81","Z96",5.31681705864271,0,0,"Osteoporosis without pathological fracture","Presence of other functional implants",NA
"M81","M05",4.56169624466198,0,0,"Osteoporosis without pathological fracture","Seropositive rheumatoid arthritis",NA
"M81","E83",4.64360030033741,0,0,"Osteoporosis without pathological fracture","Disorders of mineral metabolism",NA
"M81","R32",4.58073904509067,0,0,"Osteoporosis without pathological fracture","Unspecified urinary incontinence",NA
"M81","H27",4.93967911422459,0,0,"Osteoporosis without pathological fracture","Other disorders of lens",NA
"M81","S72",4.90269119219911,0,0,"Osteoporosis without pathological fracture","Fracture of femur",NA
"M81","I99",4.27345450682002,0,0,"Osteoporosis without pathological fracture","Other and unspecified disorders of circulatory system",NA
"M81","G20",5.03474823636074,0,0,"Osteoporosis without pathological fracture","Parkinson’s disease",NA
"M81","L89",4.01605019063251,0,0,"Osteoporosis without pathological fracture","Decubitus ulcer and pressure area",NA
"M81","I64",4.18506710095453,0,0,"Osteoporosis without pathological fracture","Stroke, not specified as haemorrhage or infarction",NA
"M81","M49",4.71040811206799,0,0,"Osteoporosis without pathological fracture","Spondylopathies in diseases classified elsewhere",NA
"H61","B08",4.2120757212483,0,0,"Other disorders of external ear","Other viral infections characterized by skin and mucous membrane lesions, NEC",NA
"H61","B01",4.53168488441911,0,0,"Other disorders of external ear","Varicella[chickenpox]",NA
"M47","H25",4.33239782760399,0,0,"Spondylosis","Senile cataract",NA
"M47","I63",4.26093555712654,0,0,"Spondylosis","Cerebral infarction",NA
"M47","I50",4.17344870667809,0,0,"Spondylosis","Heart failure",NA
"M47","M16",4.48584690160419,0,0,"Spondylosis","Coxarthrosis [arthrosis of hip]",NA
"M47","I69",4.18313977970504,0,0,"Spondylosis","Sequelae of cerebrovascular disease",NA
"M47","M45",4.10030489279751,0,0,"Spondylosis","Ankylosing spondylitis",NA
"M47","S32",4.3987218305444,0,0,"Spondylosis","Fracture of lumbar spine and pelvis",NA
"M47","M80",7.0074119340899,0,0,"Spondylosis","Osteoporosis with pathological fracture",NA
"M47","Z96",5.11895122967211,0,0,"Spondylosis","Presence of other functional implants",NA
"M47","R32",4.04492991023317,0,0,"Spondylosis","Unspecified urinary incontinence",NA
"M47","H27",4.70740550233858,2.51330906500159e-285,6.7829185046263e-280,"Spondylosis","Other disorders of lens",NA
"M47","S72",4.87985041270387,0,0,"Spondylosis","Fracture of femur",NA
"M47","I99",4.06597301898607,2.63157843388872e-285,7.10210387737889e-280,"Spondylosis","Other and unspecified disorders of circulatory system",NA
"M47","G20",5.10192318636737,0,0,"Spondylosis","Parkinson’s disease",NA
"M47","L89",4.64913003202966,0,0,"Spondylosis","Decubitus ulcer and pressure area",NA
"M47","M49",4.87281312721626,0,0,"Spondylosis","Spondylopathies in diseases classified elsewhere",NA
"N72","N73",4.48316179152095,0,0,"Inflammatory disease of cervix uteri","Other female pelvic inflammatory diseases",NA
"N72","N71",4.71791990572015,0,0,"Inflammatory disease of cervix uteri","Inflammatory disease of uterus, except cervix",15
"N72","A59",4.4174502738513,0,0,"Inflammatory disease of cervix uteri","Trichomoniasis",NA
"N72","Z30",4.4126101599189,0,0,"Inflammatory disease of cervix uteri","Contraceptive management",NA
"N72","D25",4.25405803651282,0,0,"Inflammatory disease of cervix uteri","Leiomyoma of uterus",NA
"N72","N86",4.57011898678502,0,0,"Inflammatory disease of cervix uteri","Erosion and ectropion of cervix uteri",13
"N72","N77",4.24419092086066,0,0,"Inflammatory disease of cervix uteri","Vulvovaginal ulceration and  inflammation in diseases classified elsewhere",NA
"N72","N60",4.20084228331024,0,0,"Inflammatory disease of cervix uteri","Benign mammary dysplasia",NA
"N72","N70",5.12288300492455,0,0,"Inflammatory disease of cervix uteri","Salpingitis and oophoritis",NA
"N72","N80",4.3328836372062,0,0,"Inflammatory disease of cervix uteri","Endometriosis",NA
"N72","N85",4.27722906435412,0,0,"Inflammatory disease of cervix uteri","Other noninflammatory disorders of uterus, except cervix",NA
"N72","N87",4.47354597936522,0,0,"Inflammatory disease of cervix uteri","Dysplasia of cervix uteri",NA
"N72","P59",4.24961245430003,4.24618319059456e-19,1.14595991947766e-13,"Inflammatory disease of cervix uteri","Neonatal jaundice from other and unspecified causes",NA
"N72","N75",4.59471766987761,2.31892314981479e-277,6.25830979672016e-272,"Inflammatory disease of cervix uteri","Diseases of Bartholin’s gland",NA
"N95","M81",5.71779765029237,0,0,"Menopausal and other perimenopausal disorders","Osteoporosis without pathological fracture",NA
"N95","H25",4.02565128240098,0,0,"Menopausal and other perimenopausal disorders","Senile cataract",NA
"N95","M80",5.25242462917779,0,0,"Menopausal and other perimenopausal disorders","Osteoporosis with pathological fracture",NA
"N95","F33",4.04295591330355,0,0,"Menopausal and other perimenopausal disorders","Recurrent depressive disorder",NA
"N95","E83",4.37121654686755,0,0,"Menopausal and other perimenopausal disorders","Disorders of mineral metabolism",NA
"N95","R32",4.23666691142536,0,0,"Menopausal and other perimenopausal disorders","Unspecified urinary incontinence",NA
"K73","K74",4.97576731021613,0,0,"Chronic hepatitis, NEC","Fibrosis and cirrhosis of liver",6
"K73","C22",4.19598791081232,0,0,"Chronic hepatitis, NEC","Malignant neoplasm of liver and intrahepatic bile ducts",5
