"kcd","eng"
"C73","Malignant neoplasm of thyroid gland"
"H34","Retinal vascular occlusions"
"Z22","Carrier of infectious disease"
"D53","Other nutritional anaemias"
"I99","Other and unspecified disorders of circulatory system"
"A18","Tuberculosis of other organs"
"K57","Diverticular disease of intestine"
"Z51","Persons encountering health services for other medical care"
"G20","Parkinson’s disease"
"R17","Unspecified jaundice"
"L05","Pilonidal cyst"
"T21","Burn and corrosion of trunk"
"E12","Malnutrition-related diabetes mellitus"
"R39","Other symptoms and signs involving the urinary system"
"N42","Other disorders of prostate"
"N17","Acute renal failure"
"N75","Diseases of Bartholin’s gland"
"B96","Other specified bacterial agents as the cause of diseases classified to other chapters"
"T67","Effects of heat and light"
"O23","Infections of genitourinary tract in pregnancy"
"E88","Other metabolic disorders"
"M00","Pyogenic arthritis"
"K00","Disorders of tooth development and eruption"
"E46","Unspecified protein-energy malnutrition"
"F31","Bipolar affective disorder"
"L56","Other acute skin changes due to ultraviolet radiation"
"L89","Decubitus ulcer and pressure area"
"I64","Stroke, not specified as haemorrhage or infarction"
"M49","Spondylopathies in diseases classified elsewhere"
"J16","Pneumonia due to other infectious organisms, NEC"
"O33","Maternal care for disproportion"
"E73","Lactose intolerance"
"H82","Vertigo"
"R80","Isolated proteinuria"
"S96","Injury of muscle and tendon at ankle or foot level"
"O47","False labor"
